Name,Title,Location,Reports To,Color
🏆 Major League Sports,Sports Authority,United States,,#F8F9FA
⚾ MLB,Major League Baseball,New York,🏆 Major League Sports,#FFF5F5
🏈 NFL,National Football League,New York,🏆 Major League Sports,#F0F8FF
🏀 NBA,National Basketball Association,New York,🏆 Major League Sports,#FFFAF0
🏒 NHL,National Hockey League,New York,🏆 Major League Sports,#F0FFF0
🏆 American League,Conference,New York,⚾ MLB,#C0392B
🏆 National League,Conference,New York,⚾ MLB,#8E44AD
🏆 AFC,Conference,New York,🏈 NFL,#2980B9
🏆 NFC,Conference,New York,🏈 NFL,#1ABC9C
🏆 NBA Eastern Conference,Conference,New York,🏀 NBA,#D35400
🏆 NBA Western Conference,Conference,New York,🏀 NBA,#F39C12
🏆 NHL Eastern Conference,Conference,New York,🏒 NHL,#16A085
🏆 NHL Western Conference,Conference,New York,🏒 NHL,#2ECC71
⭐ AL East,Division,New York,🏆 American League,#E74C3C
⭐ AL Central,Division,Chicago,🏆 American League,#3498DB
⭐ AL West,Division,Los Angeles,🏆 American League,#E67E22
⭐ NL East,Division,New York,🏆 National League,#27AE60
⭐ NL Central,Division,Chicago,🏆 National League,#E74C3C
⭐ NL West,Division,Los Angeles,🏆 National League,#3498DB
⭐ AFC East,Division,New York,🏆 AFC,#E74C3C
⭐ AFC North,Division,Pittsburgh,🏆 AFC,#E67E22
⭐ AFC South,Division,Indianapolis,🏆 AFC,#27AE60
⭐ AFC West,Division,Denver,🏆 AFC,#8E44AD
⭐ NFC East,Division,Dallas,🏆 NFC,#3498DB
⭐ NFC North,Division,Chicago,🏆 NFC,#E74C3C
⭐ NFC South,Division,Atlanta,🏆 NFC,#E67E22
⭐ NFC West,Division,San Francisco,🏆 NFC,#27AE60
⭐ NBA Atlantic,Division,Boston,🏆 NBA Eastern Conference,#E74C3C
⭐ NBA Central,Division,Chicago,🏆 NBA Eastern Conference,#3498DB
⭐ NBA Southeast,Division,Miami,🏆 NBA Eastern Conference,#27AE60
⭐ NBA Northwest,Division,Portland,🏆 NBA Western Conference,#E67E22
⭐ NBA Pacific,Division,Los Angeles,🏆 NBA Western Conference,#8E44AD
⭐ NBA Southwest,Division,San Antonio,🏆 NBA Western Conference,#E74C3C
⭐ NHL Atlantic,Division,New York,🏆 NHL Eastern Conference,#3498DB
⭐ NHL Metropolitan,Division,New York,🏆 NHL Eastern Conference,#E67E22
⭐ NHL Central,Division,Chicago,🏆 NHL Western Conference,#E74C3C
⭐ NHL Pacific,Division,Los Angeles,🏆 NHL Western Conference,#27AE60
⚾ New York Yankees,Team,New York,⭐ AL East,#E74C3C
⚾ Boston Red Sox,Team,Boston,⭐ AL East,#E74C3C
⚾ Tampa Bay Rays,Team,Tampa Bay,⭐ AL East,#E74C3C
⚾ Toronto Blue Jays,Team,Toronto,⭐ AL East,#E74C3C
⚾ Baltimore Orioles,Team,Baltimore,⭐ AL East,#E74C3C
⚾ Chicago White Sox,Team,Chicago,⭐ AL Central,#3498DB
⚾ Cleveland Guardians,Team,Cleveland,⭐ AL Central,#3498DB
⚾ Detroit Tigers,Team,Detroit,⭐ AL Central,#3498DB
⚾ Kansas City Royals,Team,Kansas City,⭐ AL Central,#3498DB
⚾ Minnesota Twins,Team,Minneapolis,⭐ AL Central,#3498DB
⚾ Houston Astros,Team,Houston,⭐ AL West,#E67E22
⚾ Los Angeles Angels,Team,Anaheim,⭐ AL West,#E67E22
⚾ Oakland Athletics,Team,Oakland,⭐ AL West,#E67E22
⚾ Seattle Mariners,Team,Seattle,⭐ AL West,#E67E22
⚾ Texas Rangers,Team,Arlington,⭐ AL West,#E67E22
⚾ Atlanta Braves,Team,Atlanta,⭐ NL East,#27AE60
⚾ Miami Marlins,Team,Miami,⭐ NL East,#27AE60
⚾ New York Mets,Team,New York,⭐ NL East,#27AE60
⚾ Philadelphia Phillies,Team,Philadelphia,⭐ NL East,#27AE60
⚾ Washington Nationals,Team,Washington DC,⭐ NL East,#27AE60
⚾ Chicago Cubs,Team,Chicago,⭐ NL Central,#E74C3C
⚾ Cincinnati Reds,Team,Cincinnati,⭐ NL Central,#E74C3C
⚾ Milwaukee Brewers,Team,Milwaukee,⭐ NL Central,#E74C3C
⚾ Pittsburgh Pirates,Team,Pittsburgh,⭐ NL Central,#E74C3C
