Name,Title,Location,Reports To,Color
🏆 Major League Sports,Sports Authority,United States,,#F8F9FA
⚾ MLB,Major League Baseball,New York,🏆 Major League Sports,#FFF5F5
🏈 NFL,National Football League,New York,🏆 Major League Sports,#F0F8FF
🏀 NBA,National Basketball Association,New York,🏆 Major League Sports,#FFFAF0
🏒 NHL,National Hockey League,New York,🏆 Major League Sports,#F0FFF0
🏆 American League,Conference,New York,⚾ MLB,#FFEAEA
🏆 National League,Conference,New York,⚾ MLB,#F5F0FF
🏆 AFC,Conference,New York,🏈 NFL,#E6F3FF
🏆 NFC,Conference,New York,🏈 NFL,#E6FFFA
🏆 NBA Eastern Conference,Conference,New York,🏀 NBA,#FFF8E6
🏆 NBA Western Conference,Conference,New York,🏀 NBA,#FFF0E6
🏆 NHL Eastern Conference,Conference,New York,🏒 NHL,#E6FFED
🏆 NHL Western Conference,Conference,New York,🏒 NHL,#EDFFF0
⭐ AL East,Division,New York,🏆 American League,#FFF2F2
⭐ AL Central,Division,Chicago,🏆 American League,#F2F8FF
⭐ AL West,Division,Los Angeles,🏆 American League,#FFFBF2
⭐ NL East,Division,New York,🏆 National League,#F2FFF5
⭐ NL Central,Division,Chicago,🏆 National League,#FFF2F2
⭐ NL West,Division,Los Angeles,🏆 National League,#F2F8FF
⭐ AFC East,Division,New York,🏆 AFC,#FFF2F2
⭐ AFC North,Division,Pittsburgh,🏆 AFC,#FFFBF2
⭐ AFC South,Division,Indianapolis,🏆 AFC,#F2FFF5
⭐ AFC West,Division,Denver,🏆 AFC,#F8F2FF
⭐ NFC East,Division,Dallas,🏆 NFC,#F2F8FF
⭐ NFC North,Division,Chicago,🏆 NFC,#FFF2F2
⭐ NFC South,Division,Atlanta,🏆 NFC,#FFFBF2
⭐ NFC West,Division,San Francisco,🏆 NFC,#F2FFF5
⭐ NBA Atlantic,Division,Boston,🏆 NBA Eastern Conference,#FFF2F2
⭐ NBA Central,Division,Chicago,🏆 NBA Eastern Conference,#F2F8FF
⭐ NBA Southeast,Division,Miami,🏆 NBA Eastern Conference,#F2FFF5
⭐ NBA Northwest,Division,Portland,🏆 NBA Western Conference,#FFFBF2
⭐ NBA Pacific,Division,Los Angeles,🏆 NBA Western Conference,#F8F2FF
⭐ NBA Southwest,Division,San Antonio,🏆 NBA Western Conference,#FFF2F2
⭐ NHL Atlantic,Division,New York,🏆 NHL Eastern Conference,#F2F8FF
⭐ NHL Metropolitan,Division,New York,🏆 NHL Eastern Conference,#FFFBF2
⭐ NHL Central,Division,Chicago,🏆 NHL Western Conference,#FFF2F2
⭐ NHL Pacific,Division,Los Angeles,🏆 NHL Western Conference,#F2FFF5
⚾ New York Yankees,Team,New York,⭐ AL East,#FFF2F2
⚾ Boston Red Sox,Team,Boston,⭐ AL East,#FFF2F2
⚾ Tampa Bay Rays,Team,Tampa Bay,⭐ AL East,#FFF2F2
⚾ Toronto Blue Jays,Team,Toronto,⭐ AL East,#FFF2F2
⚾ Baltimore Orioles,Team,Baltimore,⭐ AL East,#FFF2F2
⚾ Chicago White Sox,Team,Chicago,⭐ AL Central,#F2F8FF
⚾ Cleveland Guardians,Team,Cleveland,⭐ AL Central,#F2F8FF
⚾ Detroit Tigers,Team,Detroit,⭐ AL Central,#F2F8FF
⚾ Kansas City Royals,Team,Kansas City,⭐ AL Central,#F2F8FF
⚾ Minnesota Twins,Team,Minneapolis,⭐ AL Central,#F2F8FF
⚾ Houston Astros,Team,Houston,⭐ AL West,#FFFBF2
⚾ Los Angeles Angels,Team,Anaheim,⭐ AL West,#FFFBF2
⚾ Oakland Athletics,Team,Oakland,⭐ AL West,#FFFBF2
⚾ Seattle Mariners,Team,Seattle,⭐ AL West,#FFFBF2
⚾ Texas Rangers,Team,Arlington,⭐ AL West,#FFFBF2
⚾ Atlanta Braves,Team,Atlanta,⭐ NL East,#F2FFF5
⚾ Miami Marlins,Team,Miami,⭐ NL East,#F2FFF5
⚾ New York Mets,Team,New York,⭐ NL East,#F2FFF5
⚾ Philadelphia Phillies,Team,Philadelphia,⭐ NL East,#F2FFF5
⚾ Washington Nationals,Team,Washington DC,⭐ NL East,#F2FFF5
⚾ Chicago Cubs,Team,Chicago,⭐ NL Central,#FFF2F2
