Name,Title,Location,Reports To
🏆 Major League Sports,Sports Authority,United States,
⚾ MLB,Major League Baseball,New York,🏆 Major League Sports
🏈 NFL,National Football League,New York,🏆 Major League Sports
🏀 NBA,National Basketball Association,New York,🏆 Major League Sports
🏒 NHL,National Hockey League,New York,🏆 Major League Sports
🏆 American League,Conference,New York,⚾ MLB
🏆 National League,Conference,New York,⚾ MLB
🏆 AFC,Conference,New York,🏈 NFL
🏆 NFC,Conference,New York,🏈 NFL
🏆 Eastern Conference,Conference,New York,🏀 NBA
🏆 Western Conference,Conference,New York,🏀 NBA
🏆 Eastern Conference,Conference,New York,🏒 NHL
🏆 Western Conference,Conference,New York,🏒 NHL
⭐ AL East,Division,New York,🏆 American League
⭐ AL Central,Division,Chicago,🏆 American League
⭐ AL West,Division,Los Angeles,🏆 American League
⭐ NL East,Division,New York,🏆 National League
⭐ NL Central,Division,Chicago,🏆 National League
⭐ NL West,Division,Los Angeles,🏆 National League
⭐ AFC East,Division,New York,🏆 AFC
⭐ AFC North,Division,Pittsburgh,🏆 AFC
⭐ AFC South,Division,Indianapolis,🏆 AFC
⭐ AFC West,Division,Denver,🏆 AFC
⭐ NFC East,Division,Dallas,🏆 NFC
⭐ NFC North,Division,Chicago,🏆 NFC
⭐ NFC South,Division,Atlanta,🏆 NFC
⭐ NFC West,Division,San Francisco,🏆 NFC
⭐ Atlantic Division,Division,Boston,🏆 Eastern Conference
⭐ Central Division,Division,Chicago,🏆 Eastern Conference
⭐ Southeast Division,Division,Miami,🏆 Eastern Conference
⭐ Northwest Division,Division,Portland,🏆 Western Conference
⭐ Pacific Division,Division,Los Angeles,🏆 Western Conference
⭐ Southwest Division,Division,San Antonio,🏆 Western Conference
⭐ Atlantic Division,Division,New York,🏆 Eastern Conference
⭐ Metropolitan Division,Division,New York,🏆 Eastern Conference
⭐ Central Division,Division,Chicago,🏆 Western Conference
⭐ Pacific Division,Division,Los Angeles,🏆 Western Conference
⚾ New York Yankees,Team,New York,⭐ AL East
⚾ Boston Red Sox,Team,Boston,⭐ AL East
⚾ Tampa Bay Rays,Team,Tampa Bay,⭐ AL East
⚾ Toronto Blue Jays,Team,Toronto,⭐ AL East
⚾ Baltimore Orioles,Team,Baltimore,⭐ AL East
⚾ Chicago White Sox,Team,Chicago,⭐ AL Central
⚾ Cleveland Guardians,Team,Cleveland,⭐ AL Central
⚾ Detroit Tigers,Team,Detroit,⭐ AL Central
⚾ Kansas City Royals,Team,Kansas City,⭐ AL Central
⚾ Minnesota Twins,Team,Minneapolis,⭐ AL Central
⚾ Houston Astros,Team,Houston,⭐ AL West
⚾ Los Angeles Angels,Team,Anaheim,⭐ AL West
⚾ Oakland Athletics,Team,Oakland,⭐ AL West
⚾ Seattle Mariners,Team,Seattle,⭐ AL West
⚾ Texas Rangers,Team,Arlington,⭐ AL West
⚾ Atlanta Braves,Team,Atlanta,⭐ NL East
⚾ Miami Marlins,Team,Miami,⭐ NL East
⚾ New York Mets,Team,New York,⭐ NL East
⚾ Philadelphia Phillies,Team,Philadelphia,⭐ NL East
⚾ Washington Nationals,Team,Washington DC,⭐ NL East
⚾ Chicago Cubs,Team,Chicago,⭐ NL Central
⚾ Cincinnati Reds,Team,Cincinnati,⭐ NL Central
⚾ Milwaukee Brewers,Team,Milwaukee,⭐ NL Central
