Name,Title,Location,Reports To
🏆 Major League Sports,Sports Authority,United States,
⚾ MLB,Major League Baseball,New York,🏆 Major League Sports
🏈 NFL,National Football League,New York,🏆 Major League Sports
🏀 NBA,National Basketball Association,New York,🏆 Major League Sports
🏒 NHL,National Hockey League,New York,🏆 Major League Sports
⚾ New York Yankees,Baseball Team,New York,⚾ MLB
⚾ Boston Red Sox,Baseball Team,Boston,⚾ MLB
⚾ Los Angeles Dodgers,Baseball Team,Los Angeles,⚾ MLB
⚾ Chicago Cubs,Baseball Team,Chicago,⚾ MLB
⚾ San Francisco Giants,Baseball Team,San Francisco,⚾ MLB
⚾ Philadelphia Phillies,Baseball Team,Philadelphia,⚾ MLB
⚾ Atlanta Braves,Baseball Team,Atlanta,⚾ MLB
⚾ St. Louis Cardinals,Baseball Team,St. Louis,⚾ MLB
⚾ Houston Astros,Baseball Team,Houston,⚾ MLB
⚾ Tampa Bay Rays,Baseball Team,Tampa Bay,⚾ MLB
⚾ Toronto Blue Jays,Baseball Team,Toronto,⚾ MLB
⚾ Baltimore Orioles,Baseball Team,Baltimore,⚾ MLB
⚾ Washington Nationals,Baseball Team,Washington DC,⚾ MLB
⚾ Miami Marlins,Baseball Team,Miami,⚾ MLB
⚾ New York Mets,Baseball Team,New York,⚾ MLB
⚾ Pittsburgh Pirates,Baseball Team,Pittsburgh,⚾ MLB
⚾ Milwaukee Brewers,Baseball Team,Milwaukee,⚾ MLB
⚾ Cincinnati Reds,Baseball Team,Cincinnati,⚾ MLB
⚾ Cleveland Guardians,Baseball Team,Cleveland,⚾ MLB
⚾ Detroit Tigers,Baseball Team,Detroit,⚾ MLB
⚾ Minnesota Twins,Baseball Team,Minneapolis,⚾ MLB
⚾ Chicago White Sox,Baseball Team,Chicago,⚾ MLB
⚾ Kansas City Royals,Baseball Team,Kansas City,⚾ MLB
⚾ Texas Rangers,Baseball Team,Arlington,⚾ MLB
⚾ Seattle Mariners,Baseball Team,Seattle,⚾ MLB
⚾ Los Angeles Angels,Baseball Team,Anaheim,⚾ MLB
⚾ Oakland Athletics,Baseball Team,Oakland,⚾ MLB
⚾ Arizona Diamondbacks,Baseball Team,Phoenix,⚾ MLB
⚾ Colorado Rockies,Baseball Team,Denver,⚾ MLB
⚾ San Diego Padres,Baseball Team,San Diego,⚾ MLB
🏈 New England Patriots,Football Team,Foxborough,🏈 NFL
Buffalo Bills,Football Team,Buffalo,🏈 NFL
Miami Dolphins,Football Team,Miami,🏈 NFL
New York Jets,Football Team,East Rutherford,🏈 NFL
Pittsburgh Steelers,Football Team,Pittsburgh,🏈 NFL
Baltimore Ravens,Football Team,Baltimore,🏈 NFL
Cleveland Browns,Football Team,Cleveland,🏈 NFL
Cincinnati Bengals,Football Team,Cincinnati,🏈 NFL
Tennessee Titans,Football Team,Nashville,🏈 NFL
Indianapolis Colts,Football Team,Indianapolis,🏈 NFL
Houston Texans,Football Team,Houston,🏈 NFL
Jacksonville Jaguars,Football Team,Jacksonville,🏈 NFL
Kansas City Chiefs,Football Team,Kansas City,🏈 NFL
Las Vegas Raiders,Football Team,Las Vegas,🏈 NFL
Denver Broncos,Football Team,Denver,🏈 NFL
Los Angeles Chargers,Football Team,Los Angeles,🏈 NFL
Dallas Cowboys,Football Team,Arlington,🏈 NFL
Philadelphia Eagles,Football Team,Philadelphia,🏈 NFL
